Event Type,Service Type,Report Date,Male Attendance,Female Attendance,Children Attendance,Online Attendance,First Time Guests,Converts,Start Time,End Time,Number of Cars,Notes,Is Multi Service,Second Service Male Attendance,Second Service Female Attendance,Second Service Children Attendance,Second Service First Time Guests,Second Service Converts,Second Service Number of Cars,Second Service Start Time,Second Service End Time,Second Service Notes
service,Sunday Service,18-02-2024,106,123,6,48,20,1,10:00,12:00,68,,,,,,,,,,,
service,Sunday Service,25-02-2024,90,118,5,58,6,0,10:00,12:00,69,,,,,,,,,,,
service,Sunday Service,03-03-2024,101,100,6,165,11,0,10:00,12:00,71,,,,,,,,,,,
service,Sunday Service,10-03-2024,93,102,10,175,13,4,10:00,12:00,59,,,,,,,,,,,
service,Sunday Service,17-03-2024,79,92,8,87,12,0,10:00,12:00,67,,,,,,,,,,,
service,Sunday Service,24-03-2024,114,109,7,206,18,0,10:00,12:00,70,,,,,,,,,,,
service,Sunday Service,31-03-2024,137,152,16,174,35,5,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,07-04-2024,102,114,6,118,0,6,10:00,12:00,72,,,,,,,,,,,
service,Sunday Service,14-04-2024,125,104,3,115,21,0,10:00,12:00,71,,,,,,,,,,,
service,Sunday Service,21-04-2024,97,108,6,138,10,11,10:00,12:00,67,,,,,,,,,,,
service,Sunday Service,24-04-2024,114,116,8,111,22,5,10:00,12:00,73,,,,,,,,,,,
service,Sunday Service,05-05-2024,97,95,4,121,9,0,10:00,12:00,56,,,,,,,,,,,
service,Sunday Service,12-05-2024,94,110,6,144,14,0,10:00,12:00,70,,,,,,,,,,,
service,Sunday Service,19-05-2024,95,128,7,163,12,5,10:00,12:00,73,,,,,,,,,,,
service,Sunday Service,26-05-2024,118,105,12,104,8,0,10:00,12:00,74,,,,,,,,,,,
service,Sunday Service,02-06-2024,75,91,5,118,8,1,10:00,12:00,51,,,,,,,,,,,
service,Sunday Service,09-06-2024,99,122,5,195,12,0,10:00,12:00,62,,,,,,,,,,,
service,Sunday Service,16-06-2024,102,97,10,161,6,1,10:00,12:00,61,,,,,,,,,,,
service,Sunday Service,23-06-2024,102,113,9,99,12,0,10:00,12:00,72,,,,,,,,,,,
service,Sunday Service,30-06-2024,107,95,9,176,18,4,10:00,12:00,80,,,,,,,,,,,
service,Sunday Service,07-07-2024,96,108,6,118,8,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,14-07-2024,104,109,3,148,8,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,21-07-2024,123,140,6,179,11,1,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,28-07-2024,90,96,15,116,8,2,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,04-08-2024,111,129,11,131,21,0,10:00,12:00,71,,,,,,,,,,,
service,Sunday Service,11-08-2024,120,118,8,160,18,2,10:00,12:00,68,,,,,,,,,,,
service,Sunday Service,18-08-2024,89,90,3,148,10,0,10:00,12:00,58,,,,,,,,,,,
service,Sunday Service,25-08-2024,95,94,7,191,7,1,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,01-09-2024,99,111,6,135,15,0,10:00,12:00,68,,,,,,,,,,,
service,Sunday Service,08-09-2024,94,134,4,116,23,7,10:00,12:00,72,,,,,,,,,,,
service,Sunday Service,15-09-2024,96,104,9,208,15,5,10:00,12:00,70,,,,,,,,,,,
service,Sunday Service,22-09-2024,115,103,5,292,12,1,10:00,12:00,67,,,,,,,,,,,
service,Sunday Service,29-09-2024,105,132,9,343,19,3,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,06-10-2024,108,126,10,94,15,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,13-10-2024,98,85,4,171,20,6,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,20-10-2024,81,119,5,151,14,1,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,27-10-2024,89,120,15,144,19,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,03-11-2024,105,125,7,184,14,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,10-11-2024,76,96,6,167,9,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,17-11-2024,83,102,10,106,10,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,24-11-2024,82,84,6,167,18,1,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,01-12-2024,71,102,4,76,15,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,08-12-2024,79,87,7,88,10,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,15-12-2024,82,79,6,51,13,0,10:00,12:00,,,,,,,,,,,,
service,Sunday Service,07-01-2024,129,140,7,0,23,5,10:00,12:00,81,,,,,,,,,,,
service,Sunday Service,14-01-2024,109,105,4,0,16,3,10:00,12:00,71,,,,,,,,,,,
service,Sunday Service,21-01-2024,108,136,9,0,24,1,10:00,12:00,75,,,,,,,,,,,
service,Sunday Service,28-01-2024,127,122,4,0,23,1,10:00,12:00,36,,,,,,,,,,,
service,Sunday Service,04-02-2024,113,117,7,0,23,0,10:00,12:00,71,,,,,,,,,,,
service,Sunday Service,11-02-2024,108,105,5,0,15,6,10:00,12:00,69,,,,,,,,,,,
